OBJECTID,EDGELEVEL,TOLL,LTN,MED,RST,UUID,OBJVAL,left,top,right,bottom,length,hex_id
"40207",1,Keine Gebühr,"2",Without median,Paved,{E4C6F9AB-20DA-4AD5-B414-F2BE139FD13F},NebenStr3,2642174.598084983415902,1244437.262499999953434,2642751.948354172520339,1243937.262499999953434,"217","160108"
"40207",1,Keine Gebühr,"2",Without median,Paved,{E4C6F9AB-20DA-4AD5-B414-F2BE139FD13F},NebenStr3,2642174.598084983415902,1243937.262499999953434,2642751.948354172520339,1243437.262499999953434,"471","160109"
"40207",1,Keine Gebühr,"2",Without median,Paved,{E4C6F9AB-20DA-4AD5-B414-F2BE139FD13F},NebenStr3,2642607.610786876175553,1243687.262499999953434,2643184.961056065279990,1243187.262499999953434,"80","160551"
"40208",1,Keine Gebühr,"2",Without median,Paved,{7A0CADD8-9D5F-4385-8CDE-7B4B1C3BEEDA},NebenStr3,2642607.610786876175553,1243687.262499999953434,2643184.961056065279990,1243187.262499999953434,"501","160551"
"40211",1,Keine Gebühr,"2",Without median,Paved,{707CAC3A-B737-4DED-9BEF-391EC03F3B4B},NebenStr3,2640009.534575522411615,1248187.262499999953434,2640586.884844711981714,1247687.262499999953434,"425","157890"
"40211",1,Keine Gebühr,"2",Without median,Paved,{707CAC3A-B737-4DED-9BEF-391EC03F3B4B},NebenStr3,2640009.534575522411615,1247687.262499999953434,2640586.884844711981714,1247187.262499999953434,"496","157891"
"40211",1,Keine Gebühr,"2",Without median,Paved,{707CAC3A-B737-4DED-9BEF-391EC03F3B4B},NebenStr3,2640442.547277414705604,1247437.262499999953434,2641019.897546603810042,1246937.262499999953434,"465","158334"
"40211",1,Keine Gebühr,"2",Without median,Paved,{707CAC3A-B737-4DED-9BEF-391EC03F3B4B},NebenStr3,2640875.559979306533933,1247687.262499999953434,2641452.910248496104032,1247187.262499999953434,"342","158775"
"40211",1,Keine Gebühr,"2",Without median,Paved,{707CAC3A-B737-4DED-9BEF-391EC03F3B4B},NebenStr3,2641308.572681198827922,1247437.262499999953434,2641885.922950388398021,1246937.262499999953434,"543","159218"
"40211",1,Keine Gebühr,"2",Without median,Paved,{707CAC3A-B737-4DED-9BEF-391EC03F3B4B},NebenStr3,2641741.585383091121912,1247187.262499999953434,2642318.935652280692011,1246687.262499999953434,"10","159660"
"40247",1,Keine Gebühr,"2",Without median,Paved,{FCCA3296-0F1E-489C-9CCB-628FB7055C24},NebenStr3,2611430.696250635664910,1232187.262499999953434,2612008.046519825235009,1231687.262499999953434,"245","128750"
"40247",1,Keine Gebühr,"2",Without median,Paved,{FCCA3296-0F1E-489C-9CCB-628FB7055C24},NebenStr3,2611863.708952527958900,1232437.262499999953434,2612441.059221717528999,1231937.262499999953434,"37","129192"
